,summary,correct,rouge1,rouge2,rougeL,rougeLsum
0,"Damptetthet er et uttrykk for dampens tetthet (densitet) i forhold til en normalgass, for eksempel luft, som har samme trykk og temperatur som dampen.","Damptetthet er et mål på tettheten (densiteten) til damp.
Damptettheten kan uttrykkes som absolutt eller relativ tetthet.",33.3333,10.0,23.8095,28.5714
1,Neologisme er i språkvitenskapen en betegnelse for nye ord som blir skapt av personer med alvorlige psykiske lidelser (spesielt schizofreni).,"Neologisme er et nyord, en ordkonstruksjon som har oppstått med et bestemt formål, uten at det er etablert som et oppslag i en ordbok eller utgjør en del av ordforrådet i normert språk.",27.1186,3.5088,16.9492,16.9492
2,"Bjørge er eit mannsnamn som går tilbake til det norrøne Bjar-g-r.
I dette toledda namnet tyder forleddet ‘berging’.","Bjørge er eit mannsnamn som er kortform av samansette namn på Bjørg-, til dømes Bjørgulv, med tydinga ‘berging, hjelp’ i forleddet.",41.6667,21.7391,37.5,37.5
3,"Sigurd Bronger er en norsk smykkekunstner.
Han er utdannet ved Statens håndverks- og kunstindustriskole i Oslo.","Sigurd Bronger er en norsk smykkekunstner.
Han arbeider i den nederlandske smykketradisjonen, der enkelhet og stram form dominerer.
Med sine bærbare instrumenter gir han smykkene et humoristisk og overraskende uttrykk.",37.5,26.087,33.3333,37.5
4,"Arkespor er sporer som dannes i frøplanter og hos moser, bregner, noen kråkefotplanter og noen nakenfrøete planter.","Arkespor er et cellevev som gir opphav til cellene som danner sporer i planter.
Arkespor ligger inne i unge sporehus.",30.0,5.2632,25.0,25.0
5,Deviasjon er en endring i skipets magnetiske komponenter når skipet dreies fra en kvadrant til en annen.,"Deviasjon er i navigasjon den feilen på magnetkompasset som skyldes magnetiske forhold på skipet.
Både skipets byggemateriale (spesielt stål), elektriske kabler og skipets last kan påvirke det lokale magnetfeltet slik at det oppstår deviasjon på kompasset.
Under navigasjon må kursen på magnetkompasset rettes for deviasjon og misvisning for å finne riktige (rettvisende) geografiske kurser.",18.6667,2.7397,13.3333,16.0
6,"Ekspandert plast er en type skumplast som fremstilles i ekspandert form når de skal brukes til støtdempende og lyd- og varmeisolerende materialer, for eksempel isolasjonsplater i bygg, fendere og flytelegemer mot tele.","Ekspandert plast er celleplast som er fremstilt ved esing (ekspandering) av kompakt plast.
Esingen skjer gjerne ved hjelp av tilsatte esemidler som danner gasser når plastmassen varmes opp.
Esemidlene kan være gasser, flyktige væsker eller stoff som ved oppvarmingen spaltes kjemisk under dannelse av en gass.",16.8675,7.4074,14.4578,14.4578
7,"Biljard er en idrett som spilles på et bord med tre kuler og fem trekjegler.
Spillet er en av de mest populære spilleformene i verden.","Biljard er et samlenavn på presisjonsspill hvor kuler støtes med en stokk (kø) på et rektangulært biljardbord.
To personer spiller mot hverandre.
Bordet mangler hull eller har seks hull, ett i hvert hjørne og ett midt på hver langside.
Som sport er biljard delt i de offisielle grenene carambole, pool og snooker.
Carambole spilles på bord uten hull, de to andre på bord med hull.",29.7872,8.6957,17.0213,27.6596
8,Beksøm er en søm som brukes på undersiden av skotøy for å holde sålen sammen.,"Beksøm, egentlig en grov håndsøm med tråd innsatt med bek (bektråd) og en grisebust i hver ende, mest brukt til støvler.
Teknikken er nå for det meste erstattet med moderne maskinsøm eller liming.",20.6897,3.5714,17.2414,20.6897
9,Myxobolus cerebralis er en fiskesykdom som forekommer hos yngel av regnbueørret og bekkerøye som oppdrettes i jorddammer.,"Dreiesyke er en fiskesykdom som forårsakes av parasitten Myxobolus cerebralis (tidligere beskrevet som Myxosoma cerebralis), som er klassifisert i gruppen myxosporidier, en undergruppe av sporedyr.
Sykdommen er beskrevet fra Norge.",36.0,16.6667,28.0,28.0
10,"André Bergdølmo er en norsk tidligere fotballspiller som var en sentral midtstopper for Rosenborg, Ajax og FC København.","André Bergdølmo er en norsk tidligere fotballspiller.
Han hadde posisjonene venstre eller høyre back, men ble også brukt som midtstopper.
Harald Martin Brattbakk og Bergdølmo er de eneste nordmennene som har vunnet seriemesterskap i tre land.",37.2881,24.5614,37.2881,33.8983
11,Ars antiqua var en musikkform i middelalderen og renessansen som utviklet seg i løpet av middelalderen.,"Ars antiqua er den flerstemmige musikk fra cirka 1150 til cirka 1300, til forskjell fra ars nova i begynnelsen av 1300-tallet.",20.5128,5.4054,20.5128,20.5128
12,"Cord er en britisk og amerikansk volumenhet for brensel.
Enheten ble opprinnelig brukt til å måle innholdet i en vedkubbe av 4 fot lengde og 8 fot bredde, men ble erstattet av det metriske målet stablet kubikkmeter.","Cord er en gammel britisk, amerikansk og kanadisk volumenhet for ved til brensel og for tømmer til papirproduksjon.
En cord er mengden med ved eller tømmer som er lagt i en ordnet stabel som måler 128 kubikkfot.",35.8974,10.5263,30.7692,30.7692
13,"Drikkepenger er et påslag som utbetales i tillegg til regningen.
Det er vanlig å gi i form av tips.",Drikkepenger er en ekstra betaling for en utvist tjeneste eller et arbeid og forekommer særlig i restaurantbransjen.,21.6216,5.7143,21.6216,21.6216
14,"Brettspill er en fellesbetegnelse for ulike typer spill som spilles på et brett.
Spillene er basert på kasting av pinner og skjell på rutete brett, og flytter steiner og steiner rundt på et rutet brett som er laget av tre.","Brettspill er konkurranse utført med spillbrikker på et brett inndelt i områder, med regler for hvordan brikkene kan flyttes.
Til brettspill regnes også spill bestående av brikker eller kort som legges ut og bygger et brett eller et spillområde.
Grensene mellom brettspill og kortspill er derfor ofte flytende.",30.4348,6.6667,21.7391,28.2609
15,"Glutamin er en aminosyre som er en av de viktigste aminosyrene i levende organismer.
Aminosyren er viktig for å transportere nitrogen mellom ulike vev.","Glutamin er en av de 20 aminosyrene i proteiner.
Glutamin er den vanligste og mest allsidige aminosyren i menneskekroppen.
Den deltar i en rekke biologiske prosesser.",40.8163,21.2766,32.6531,36.7347
16,"Vester-Risør er et tettsted i Mandal kommune, Vestfold og Telemark fylke.
Tettstedet er ifølge SSBs definisjon 0,6 km2, og har 1 074 innbyggere (2022).","Buane er navnet på en tidlig bebyggelse ved Mandalselva, i dag i tettstedet og kommunesenteret Mandal i Lindesnes kommune, Agder fylke.
Tettbebyggelsen Buane ble også kalt «De danske boder i Mandalen» og oppstod antagelig først på 1600-tallet, men navnet Buane er likevel neppe eldre enn fra første del av 1700-tallet.",21.9512,0.0,14.6341,17.0732
17,"Boa Vista er en øy på Kapp Verde.
Øya ligger i det sørlige Atlanterhavet, ved øya Boa Vistas utløp i Guineabukta.","Boa Vista er en øy i Atlanterhavet, den østligste av øyene i Kapp Verde.
Den ligger 450 kilometer fra kysten av Senegal, og har et areal på 620 kvadratkilometer.
Øya når opp i 387 meter over havet.",42.623,16.9492,32.7869,39.3443
18,"Berg var en tidligere kommune i Østfold.
Den ble slått sammen med Sarpsborg i 2020 til Halden kommune.","Berg er en tidligere kommune som utgjør nordre del av den nåværende Halden kommune i Viken fylke.
Berg ble opprettet i 1837 i forbindelse med innføringen av det kommunale selvstyret.
Fra kommunen ble det i 1909, 1936 og 1950 overført mindre områder til Halden.
I 1967 ble Berg kommune, som da var 253 km2 og hadde 9673 innbyggere, og Idd (383 km2 og 7213 innbyggere), slått sammen med Halden.",33.6842,17.2043,23.1579,31.5789
19,"Enhetsstat er en konstitusjonell enhet som består av lokale enheter som kommuner, fylker og kommuner.","Enhetsstat er en stat hvor den politiske myndighet er samlet i nasjonale organer og institusjoner.
I en slik stat har eventuelle lokale enheter bare delegert myndighet.",28.5714,15.0,23.8095,28.5714
