matches,matches_sample_str
1,liverpool har ikke lidd premier league-tap siden de falt 3-0 til manchester united på old trafford. SCORE : 100
0,
0,
0,
1,fire tjenestegjorde hos louisianas nasjonalgarde. SCORE : 96
0,
0,
0,
0,
0,
2," yeon ryu kom derfor fra et slag bak sin medkoreanske indianerpark for å ta sin første individuelle world ladies championship-tittel i mission hills på søndag. SCORE : 98ryu kortet en avslutning 69 på par-73 blackstone course for å avslutte på 13 under par, ett skudd foran team-mate park. SCORE : 100"
0,
1,"politiet sa at medina ikke søkte legehjelp for trujillo, ikke søkte hjelp fra andre offiserer for å kue henne og ikke rapporterte bruk av makt. SCORE : 100"
0,
1,"i to timer unngikk den å bli tatt, med ett vitne som beskrev hvordan politiet jaktet på den som en mistenkt. SCORE : 100"
1,"og robbins, 52, er ikke den eneste stjernen som er blitt sett på occupy wall street. SCORE : 98"
2,"mp-ene hadde presset på for reformer til systemet som ser de som ikke betaler den 145,50 punds års-avgiften som ble trukket for magistrater. SCORE : 100rundt 150 000 mennesker årlig blir dømt. SCORE : 100"
0,
0,
0,
0,
0,
1,familier av passasjerer og besetningsmedlemmer har fremdeles ikke noe svar på hva som skjedde med deres nærmeste. SCORE : 100
0,
0,
0,
0,
1,"fredag ville ha vært 50-årsdagen til prins williams mor, prinsesse diana, som besøkte canada sammen med prins charles i 1983. SCORE : 100"
0,
0,
0,
1, swansea har gitt et kontraktstilbud til marseille-streikeren andre ayew. SCORE : 100
0,
1,"paul meakin, 31, kom på jobb på mandag for å finne den enorme strukturen som blokkerer inngangen til hans familie-drevne café i grantham, lincolnshire. SCORE : 99"
0,
0,
0,
1, cnn overvåker tvitter og andre meldinger fra folk i haiti og rapporter fra de som sa de har vært i kontakt med venner og familie. SCORE : 98
1,da sanitetssoldatene ankom bushwick-eiendommen oppdaget de mr rivera med et brystsår. SCORE : 99
0,
2," united launch alliance har avduket radikale planer om å skyte opp en gjenbrukbar rakett med navnet «vulcan» i 2019. SCORE : 99vulcan vil bruke nye motorer, midtveis i luftgjenvinningen og en ny øvre stadium som har som mål å muliggjøre komplekse on-orbit manøvrer. SCORE : 100"
0,
0,
0,
0,
1,hærens stabssekretær. SCORE : 100
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
1, england vil bli representert i vm-finalen etter samtlige - av sine to umpirer. SCORE : 100
0,
0,
0,
0,
1,"alec ahsoak, som ifølge det statlige seksualforbryterregisteret ble dømt i 1993 og 2000 for seksuelt misbruk av en mindreårig, sto frem lørdag med vinnerbilletten for den 500 000 lucky time pull tabs jackpot. SCORE : 100"
0,
0,
0,
0,
1,"tata motors forventer å begynne leveringen av nano, fakturert som verdens billigste bil, i juli. SCORE : 100"
0,
1,kostnadene ved den nedlagte rettssaken og den nye rettssaken antas å ha kostet skattebetaleren 10 000 pund. SCORE : 99
0,
0,
0,
0,
0,
0,
0,
2," steve fuller har jobbet som vinteroppsynsmann i yellowstone nasjonalpark siden 1973. SCORE : 96han bor i en liten hytte alene i løpet av vinteren, med nok mat lagret siden hans nærmeste naboer er en to timers snøscootertur unna. SCORE : 100"
0,
0,
1,"kenya har en befolkning på rundt 41 millioner, og nesten 17 millioner mangler tilgang på trygt vann ifølge fn. SCORE : 96"
0,
0,
0,
0,
0,
0,
1,brewster ble funnet blødende fra brystet kort tid etter kl. SCORE : 100
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
1,spc. SCORE : 100
0,
1,kvinnen - som identifiserte seg senere som josephine witt - ropte 'slutt med esb-diktaturet!' SCORE : 100
0,
0,
0,
1,"israelerne gjør seg klar til å gå til valglokalene, og svaret virker negativt. SCORE : 100"
0,
0,
0,
1,til gjengjeld kan arbeiderne deres oppsøke dr. dave med alle slags helseproblemer de måtte ha. SCORE : 100
0,
0,
0,
1,hun kom til india i 1929 og dedikerte sitt liv til å hjelpe de som trengte hjelp. SCORE : 100
0,
0,
0,
0,
0,
0,
1,hver satellitt er utstyrt med 25 sensorer å registrere i. splittesekunddetaljer hva som skjer når planeten er magnetisk. SCORE : 98
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
1,- en million dollar per dag i 2000 år er bare tre fjerdedeler av en billion dollar. SCORE : 100
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
1,"blant spillesteder han skal ha fløyet et «lite ubemannet overvåkningsfly over» er liverpools anfield, emirates stadium, arsenals hjemmebane og manchester citys etihad stadium. SCORE : 99"
1,"alliss, 84, har sagt at lovgivning som har til hensikt å hindre golfklubber i å diskriminere mot kvinnelige medlemmer, i stedet har ført til en nedgang i kvinners medlemskap. SCORE : 98"
0,
1,sykehusdirektør lucy kells hadde matet fuglen med pinsett før hun satte den i hånden. SCORE : 100
0,
0,
0,
0,
0,
0,
0,
2,"hun skulle gifte seg i juli. SCORE : 100hun ble fraktet til sykehus, men døde av skadene. SCORE : 98"
0,
0,
0,
0,
0,
0,
0,
0,
2,"pensjonisten fra en nabolandsby i qiyang i hunan-provinsen, kina er arrestert av politiet for forbrytelsen etter at dna-beviset viste at han var barnets far. SCORE : 100i stedet hevder hun at hun ble voldtatt av tre av lærerne gjentatte ganger. SCORE : 100"
0,
1,depresjon kan i seg selv ha uheldige virkninger for både mor og barn. SCORE : 100
0,
0,
0,
1,hun arbeider i det samme tucson tinghus som sin forgjenger. SCORE : 96
0,
0,
3,"russ reiste fra california til colorado, og tok seg gjennom arizona, texas og new mexico. SCORE : 97russ reiste fra california til colorado, og tok seg gjennom arizona, texas og new mexico. SCORE : 100russ sa at han var opprømt over å omfavne den nostalgiske måten å reise på, som han dokumenterte på sin tumblr. SCORE : 100"
0,
0,
0,
1,robainas tobakksblader regnes som noen av verdens beste. SCORE : 100
0,
0,
1,"den portugisiske manageren har redusert utgiftene i klubben, men har fortsatt å bringe suksess. SCORE : 96"
1,men sammenlignet med noen har de kommet seg ganske lett unna. SCORE : 98
0,
0,
0,
0,
0,
0,
1,med iphone 5c ble den billigere og mer fargerik. SCORE : 100
2,"kl. SCORE : 100den andre i paret, grail-b, vil følge etter søndag. SCORE : 100"
0,
0,
0,
0,
1,den ondsinnede drivkraften har blitt kalt «usb killer» og den bruker høy spenning og strøm til å «fry» laptopens komponenter. SCORE : 97
0,
0,
0,
0,
0,
1,"miss guode besøkte datteren for første gang, men overnattet ikke på sykehuset. SCORE : 100"
1,"gary saurage, 45, som driver gator country viltreservat i beaumont, texas, ble mandag morgen utkalt for å fange en gigantisk 400lb, 11ft-lang alligator fra en families bakgårdsdam. SCORE : 96"
0,
0,
0,
1,"på den tiden var hennes operasjon angivelig 98 prosent komplett, plastisk kirurg, dr. alan bienstock fortalte jones' datter, shantay. SCORE : 100"
1,"tara brown fra venice beach i california la merke til at den hvite katten hennes, lucky cat, kom til å løpe mellom føttene hennes hver gang hun pumpet barbeller. SCORE : 97"
1,"det er da ugress, insekter eller soppsykdommer blir et stort problem. SCORE : 100"
0,
0,
0,
1,"det var verdens sykkelmekka, med 20 lag lycra-kladde proffer og supporterne deres som rev opp veiene og hang ut i kaffebarer. SCORE : 100"
0,
0,
0,
0,
1,"bilen er en amalgamasjon av big three, med en chrysler-motor, chevrolet drivtrain og ford-karosseri. SCORE : 98"
0,
0,
0,
2,"spring air, kinas største budsjettbærer, ønsker å rekruttere collegeutdannede kvinner i alderen 25 til 45 år til å bli dens siste flyvertinner. SCORE : 100flyselskapet, som kaller rollen 'flytanter' sier søkere som er gift med barn vil bli gitt topp hensyn. SCORE : 100"
1,den opprinnelige oppskriften på 'brew' inneholdt mer enn 10 ganger maksimalt daglig inntak av vitamin a til spedbarn. SCORE : 100
0,
0,
1,"i laboratorietester fikk de inaktive mus og humane stamceller til å regenerere myelin, det beskyttende isolasjonslignende belegget rundt nervefibrer som ødelegges av sykdommen. SCORE : 100"
0,
0,
0,
0,
0,
0,
0,
1,myndighetene kvittet seg med begge uten skader. SCORE : 100
0,
0,
0,
0,
0,
0,
0,
0,
0,
1,femail ba bransjens hotteste frisører dele innsidekunnskapene sine om hva du gjør galt og de enkle skrittene for å sørge for at du gjør det riktig. SCORE : 98
0,
0,
1,tusenvis av lik er blitt dratt ut av ruinene og brent. SCORE : 100
0,
0,
0,
1,"sterlings nåværende avtale går frem til 2017, og han hadde vært i forhandlinger med liverpool over en forlengelse. SCORE : 100"
2,"facebook har nå 300 millioner brukere -- nesten like mange som usas befolkning. SCORE : 100nettstedet startet som en portal for studenter ved universitetet, men har de siste årene tiltrukket seg oppmerksomhet fra babyboomere og eldre generasjoner. SCORE : 96"
0,
0,
0,
0,
1,abercrombie har signert en katastrofeproklamasjon på grunn av skadene. SCORE : 100
0,
0,
0,
0,
0,
0,
0,
1,paret ble sist sett på tv og kysset og koset i sengen før kameraene flyttet seg vekk. SCORE : 100
0,
0,
0,
0,
0,
0,
0,
0,
0,
1,det er ennå ikke blitt sagt noe fra den høyeste domstol om hvem som skal være til stede. SCORE : 96
0,
1,"natalia jeane germano, 19, døde umiddelbart etter å ha blitt skutt i hodet mens han var hjemme hos en venn i maringá, brasil. SCORE : 100"
1,"men han ser på disse verkene, skapt for moro skyld, som en kunstform. SCORE : 97"
0,
0,
0,
0,
0,
0,
1,politiet sier at guttene døde søndag ettermiddag til tross for at faren til en av ungene hoppet i vannet og dro barna i land. SCORE : 98
0,
0,
0,
0,
1,"shawn carter, 31 år, ble arrestert tirsdag og siktet. SCORE : 100"
0,
0,
0,
0,
0,
1,deltakerne inkluderte en sofa som var spent fast til en stabel med dekk og en flytende subaru-bil. SCORE : 100
0,
0,
0,
0,
0,
0,
0,
0,
0,
2,hun fikk også en samlet skole på 28 700 dollar fra en middelskole. SCORE : 100en kampanje på nettet og massachusetts victims of. SCORE : 100
0,
0,
0,
0,
0,
0,
0,
2,o.j. SCORE : 100simpson ble dømt til maksimum 33 år med mulighet for prøveløslatelse etter ni. SCORE : 97
0,
1,mr roy ble hacket til døde med en machete midt i gata på torsdag. SCORE : 100
0,
1,usa er også opptatt av å utdype båndene mellom venezuela og iran. SCORE : 100
2,"dress, 270 pund, gina bacconi på johnlewis.com. SCORE : 100sandals, 395 pund, carlopazolini.com. SCORE : 96"
0,
0,
0,
2,"jayden wingler fra phoenix i arizona ble intervjuet av fox news tidligere denne uken om en temaparkulykke som etterlot ham med alvorlige brannskader på beina. SCORE : 100mens han var på kamera, husket han det som skjedde med armhandlinger og storøyde ansiktsuttrykk for å matche følelsene hans. SCORE : 100"
0,
0,
0,
0,
0,
0,
0,
0,
0,
1,kane har hatt flere trolldommer på utlån før han brøt seg inn på tottenhams førstelag denne sesongen. SCORE : 100
0,
0,
0,
1, hvor stor trussel utgjør utenlandske krigere i syria og irak for vesten? SCORE : 100
1,"ryan, 41, ringte rhodri, 38, og de to brødrene forsoner seg nå i et forsøk på å gjenoppbygge forholdet deres. SCORE : 96"
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
1,brannen antas ikke å være mistenkelig og antas å ha startet i kjøkkenet i første etasje. SCORE : 100
1,pasienten er den andre med ebola innlagt på nih-sykehuset. SCORE : 100
0,
0,
0,
0,
0,
0,
0,
0,
1,"obama har ikke drevet seg selv på sju eller åtte år, sa hun. SCORE : 100"
1,han mister også lisensen i fem år. SCORE : 97
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
1,"rachel sandridge, 29 år, fra maryland, skulle gjennomgå operasjonen etter at vekten hennes var kommet opp i 430 pund. SCORE : 100"
1,"patriotenes talsmann sa at▁\""prior familieforpliktelser\"" var grunnen til at brady ikke var til stede. SCORE : 98"
0,
0,
1,helsearbeidere i vest-afrika får lov til å reise tilbake til canada. SCORE : 100
0,
0,
0,
1,"grigorievas besøk med oprah winfrey var i ferd med å skje, men er utsatt på ubestemt tid, sa kilden. SCORE : 98"
0,
0,
0,
0,
1,"pri-kandidaten jose francisco fuentes esperon ble drept, sammen med sin kone og deres to sønner. SCORE : 97"
0,
1,"argentina reiser deretter til colombia tirsdag, da det vinnerløse bolivia har et bortekollisjon med venezuela. SCORE : 96"
0,
0,
0,
0,
0,
0,
0,
0,
1, den 27. februar slapp det amerikanske politiske dramaet house of cards hele sin tredje sesong på netflix. SCORE : 100
0,
0,
0,
